gene_id,log2FoldChange,pvalue,padj
SGCA,-1.910216633,8.994463012820779e-08,8.393847676710926e-06
P2RX1,-1.616155519,9.249158812738131e-08,8.605846784602149e-06
PABPC1L,-1.393685824,9.390642137143105e-08,8.711562170133677e-06
ENSG00000253361,-3.00129093,9.424402080550259e-08,8.717014267581147e-06
SPSB4,-2.717694957,9.595093814934338e-08,8.84871439340095e-06
UBN1,0.3313237519169648,9.661393098606734e-08,8.85759919183995e-06
TLCD3A,-1.1067398,9.637339268989473e-08,8.85759919183995e-06
CLEC11A,-1.400733999,9.71090460377917e-08,8.868168407100916e-06
ZNF774,-0.757378778,9.729654107525234e-08,8.868168407100916e-06
SOD3,-1.940560821,1.0218925547083735e-07,9.274741334099474e-06
LDLRAD3,-1.195657086,1.023505664927972e-07,9.274741334099474e-06
PLAC9,-1.429717727,1.0422465412728676e-07,9.390130726171084e-06
NICOL1,-1.323119082,1.0404724789435107e-07,9.390130726171084e-06
AKR1C2,1.8241131479363244,1.0452613430296321e-07,9.390231427337756e-06
PLEKHG5,-1.025889785,1.0740474451772316e-07,9.62118775890424e-06
GUCY1B2,-2.385363658,1.0981617661462792e-07,9.80909465572318e-06
CST7,-1.591399735,1.1101363290150544e-07,9.887804003987934e-06
SUSD5,-2.021828387,1.123273158070923e-07,9.920025068014482e-06
PRDX6,0.6049028672576455,1.1223480258396289e-07,9.920025068014482e-06
ANKRD13B,-1.023306929,1.1224407019583151e-07,9.920025068014482e-06
GDE1,0.4670820449021849,1.1298350515441553e-07,9.949868511668993e-06
ENSG00000294107,-3.249230071,1.1577781609711077e-07,1.0167308608550487e-05
NKILA,-1.981255373,1.1771737633159795e-07,1.0308678813038506e-05
HMCN1,-1.44785741,1.1954793489434895e-07,1.0439740470955395e-05
KRT23,-2.460230652,1.223136330325514e-07,1.062788890108132e-05
HMGN5,1.1454983318324812,1.2238236907492163e-07,1.062788890108132e-05
ATP2A1,1.353474749815198,1.2376639858481657e-07,1.0718307254728865e-05
SLC1A7,-2.318069706,1.2581209116892013e-07,1.08653685254529e-05
LINC00494,-2.971336972,1.2629492518285914e-07,1.0877019961409712e-05
TPRG1L,0.5707508132611521,1.2833640526187525e-07,1.1022475378302214e-05
CRLF1,-2.469910074,1.2907469898845272e-07,1.1055513190345198e-05
NREP,-1.062648298,1.306571029202455e-07,1.116047270108097e-05
BCKDK,0.5959585755350862,1.3179183863782464e-07,1.1226725480474964e-05
KCNH6,3.3016858880627415,1.3219001289128162e-07,1.1230044491902547e-05
ZC3H12D,-1.155236891,1.3432981515676426e-07,1.138090246950114e-05
